n=6, k=11
2 AAAAAABBBBBB 	0
4 AAAAABABBBBB 	2
4 AAAAABBABBBB 	2
4 AAAAABBBABBB 	2
4 AAAAABBBBABB 	2
4 AAAAABBBBBAB 	1
3 AAAAABBBBBBA 	1
4 AAAABAABBBBB 	3
6 AAAABABABBBB 	4
6 AAAABABBABBB 	4
6 AAAABABBBABB 	4
6 AAAABABBBBAB 	3
5 AAAABABBBBBA 	3
4 AAAABBAABBBB 	NO
6 AAAABBABABBB 	NO
6 AAAABBABBABB 	NO
6 AAAABBABBBAB 	3
5 AAAABBABBBBA 	NO
4 AAAABBBAABBB 	NO
6 AAAABBBABABB 	NO
6 AAAABBBABBAB 	3
5 AAAABBBABBBA 	NO
4 AAAABBBBAABB 	NO
6 AAAABBBBABAB 	3
5 AAAABBBBABBA 	NO
4 AAAABBBBBAAB 	1
5 AAAABBBBBABA 	5
3 AAAABBBBBBAA 	1
4 AAABAAABBBBB 	3
6 AAABAABABBBB 	4
6 AAABAABBABBB 	4
6 AAABAABBBABB 	4
6 AAABAABBBBAB 	4
5 AAABAABBBBBA 	3
6 AAABABAABBBB 	NO
8 AAABABABABBB 	NO
8 AAABABABBABB 	NO
8 AAABABABBBAB 	5
7 AAABABABBBBA 	NO
6 AAABABBAABBB 	NO
8 AAABABBABABB 	NO
8 AAABABBABBAB 	5
7 AAABABBABBBA 	NO
6 AAABABBBAABB 	NO
8 AAABABBBABAB 	5
7 AAABABBBABBA 	NO
6 AAABABBBBAAB 	3
7 AAABABBBBABA 	6
5 AAABABBBBBAA 	3
4 AAABBAAABBBB 	NO
6 AAABBAABABBB 	NO
6 AAABBAABBABB 	NO
6 AAABBAABBBAB 	NO
5 AAABBAABBBBA 	NO
6 AAABBABAABBB 	NO
8 AAABBABABABB 	NO
8 AAABBABABBAB 	NO
7 AAABBABABBBA 	NO
6 AAABBABBAABB 	NO
8 AAABBABBABAB 	NO
7 AAABBABBABBA 	NO
6 AAABBABBBAAB 	3
7 AAABBABBBABA 	6
5 AAABBABBBBAA 	3
4 AAABBBAAABBB 	NO
6 AAABBBAABABB 	NO
6 AAABBBAABBAB 	NO
5 AAABBBAABBBA 	NO
6 AAABBBABAABB 	NO
8 AAABBBABABAB 	NO
7 AAABBBABABBA 	NO
6 AAABBBABBAAB 	3
7 AAABBBABBABA 	6
5 AAABBBABBBAA 	3
4 AAABBBBAAABB 	NO
6 AAABBBBAABAB 	NO
5 AAABBBBAABBA 	NO
6 AAABBBBABAAB 	3
7 AAABBBBABABA 	6
5 AAABBBBABBAA 	3
4 AAABBBBBAAAB 	1
5 AAABBBBBAABA 	5
5 AAABBBBBABAA 	2
3 AAABBBBBBAAA 	1
4 AABAAAABBBBB 	3
6 AABAAABABBBB 	4
6 AABAAABBABBB 	4
6 AABAAABBBABB 	4
6 AABAAABBBBAB 	4
5 AABAAABBBBBA 	3
6 AABAABAABBBB 	NO
8 AABAABABABBB 	NO
8 AABAABABBABB 	NO
8 AABAABABBBAB 	5
7 AABAABABBBBA 	NO
6 AABAABBAABBB 	NO
8 AABAABBABABB 	NO
8 AABAABBABBAB 	5
7 AABAABBABBBA 	NO
6 AABAABBBAABB 	NO
8 AABAABBBABAB 	5
7 AABAABBBABBA 	NO
6 AABAABBBBAAB 	4
7 AABAABBBBABA 	NO
5 AABAABBBBBAA 	4
6 AABABAAABBBB 	NO
8 AABABAABABBB 	NO
8 AABABAABBABB 	NO
8 AABABAABBBAB 	NO
7 AABABAABBBBA 	NO
8 AABABABAABBB 	NO
10 AABABABABABB 	NO
10 AABABABABBAB 	NO
9 AABABABABBBA 	NO
8 AABABABBAABB 	NO
10 AABABABBABAB 	NO
9 AABABABBABBA 	NO
8 AABABABBBAAB 	5
9 AABABABBBABA 	NO
7 AABABABBBBAA 	5
6 AABABBAAABBB 	NO
8 AABABBAABABB 	NO
8 AABABBAABBAB 	NO
7 AABABBAABBBA 	NO
8 AABABBABAABB 	NO
10 AABABBABABAB 	NO
9 AABABBABABBA 	NO
8 AABABBABBAAB 	5
9 AABABBABBABA 	NO
7 AABABBABBBAA 	5
6 AABABBBAAABB 	NO
8 AABABBBAABAB 	NO
7 AABABBBAABBA 	NO
8 AABABBBABAAB 	5
9 AABABBBABABA 	7
7 AABABBBABBAA 	5
6 AABABBBBAAAB 	3
7 AABABBBBAABA 	6
7 AABABBBBABAA 	4
5 AABABBBBBAAA 	3
4 AABBAAAABBBB 	NO
6 AABBAAABABBB 	NO
6 AABBAAABBABB 	NO
6 AABBAAABBBAB 	NO
5 AABBAAABBBBA 	NO
6 AABBAABAABBB 	NO
8 AABBAABABABB 	NO
8 AABBAABABBAB 	NO
7 AABBAABABBBA 	NO
6 AABBAABBAABB 	NO
8 AABBAABBABAB 	NO
7 AABBAABBABBA 	NO
6 AABBAABBBAAB 	NO
7 AABBAABBBABA 	NO
5 AABBAABBBBAA 	NO
6 AABBABAAABBB 	NO
8 AABBABAABABB 	NO
8 AABBABAABBAB 	NO
7 AABBABAABBBA 	NO
8 AABBABABAABB 	NO
10 AABBABABABAB 	NO
9 AABBABABABBA 	NO
8 AABBABABBAAB 	NO
9 AABBABABBABA 	NO
7 AABBABABBBAA 	NO
6 AABBABBAAABB 	NO
8 AABBABBAABAB 	NO
7 AABBABBAABBA 	NO
8 AABBABBABAAB 	NO
9 AABBABBABABA 	7
7 AABBABBABBAA 	NO
6 AABBABBBAAAB 	3
7 AABBABBBAABA 	6
7 AABBABBBABAA 	4
5 AABBABBBBAAA 	3
4 AABBBAAAABBB 	NO
6 AABBBAAABABB 	NO
6 AABBBAAABBAB 	NO
5 AABBBAAABBBA 	NO
6 AABBBAABAABB 	NO
8 AABBBAABABAB 	NO
7 AABBBAABABBA 	NO
6 AABBBAABBAAB 	NO
7 AABBBAABBABA 	NO
5 AABBBAABBBAA 	NO
6 AABBBABAAABB 	NO
8 AABBBABAABAB 	NO
7 AABBBABAABBA 	NO
8 AABBBABABAAB 	NO
9 AABBBABABABA 	7
7 AABBBABABBAA 	NO
6 AABBBABBAAAB 	3
7 AABBBABBAABA 	6
7 AABBBABBABAA 	4
5 AABBBABBBAAA 	3
4 AABBBBAAAABB 	NO
6 AABBBBAAABAB 	NO
5 AABBBBAAABBA 	NO
6 AABBBBAABAAB 	NO
7 AABBBBAABABA 	6
5 AABBBBAABBAA 	NO
6 AABBBBABAAAB 	3
7 AABBBBABAABA 	6
7 AABBBBABABAA 	4
5 AABBBBABBAAA 	3
4 AABBBBBAAAAB 	1
5 AABBBBBAAABA 	5
5 AABBBBBAABAA 	2
5 AABBBBBABAAA 	2
3 AABBBBBBAAAA 	1
4 ABAAAAABBBBB 	3
6 ABAAAABABBBB 	4
6 ABAAAABBABBB 	4
6 ABAAAABBBABB 	4
6 ABAAAABBBBAB 	4
5 ABAAAABBBBBA 	3
6 ABAAABAABBBB 	5
8 ABAAABABABBB 	6
8 ABAAABABBABB 	6
8 ABAAABABBBAB 	5
7 ABAAABABBBBA 	5
6 ABAAABBAABBB 	NO
8 ABAAABBABABB 	NO
8 ABAAABBABBAB 	5
7 ABAAABBABBBA 	NO
6 ABAAABBBAABB 	NO
8 ABAAABBBABAB 	5
7 ABAAABBBABBA 	NO
6 ABAAABBBBAAB 	4
7 ABAAABBBBABA 	NO
5 ABAAABBBBBAA 	4
6 ABAABAAABBBB 	5
8 ABAABAABABBB 	6
8 ABAABAABBABB 	6
8 ABAABAABBBAB 	NO
7 ABAABAABBBBA 	5
8 ABAABABAABBB 	NO
10 ABAABABABABB 	NO
10 ABAABABABBAB 	NO
9 ABAABABABBBA 	NO
8 ABAABABBAABB 	NO
10 ABAABABBABAB 	NO
9 ABAABABBABBA 	NO
8 ABAABABBBAAB 	5
9 ABAABABBBABA 	NO
7 ABAABABBBBAA 	5
6 ABAABBAAABBB 	NO
8 ABAABBAABABB 	NO
8 ABAABBAABBAB 	NO
7 ABAABBAABBBA 	NO
8 ABAABBABAABB 	NO
10 ABAABBABABAB 	NO
9 ABAABBABABBA 	NO
8 ABAABBABBAAB 	5
9 ABAABBABBABA 	NO
7 ABAABBABBBAA 	5
6 ABAABBBAAABB 	NO
8 ABAABBBAABAB 	NO
7 ABAABBBAABBA 	NO
8 ABAABBBABAAB 	5
9 ABAABBBABABA 	NO
7 ABAABBBABBAA 	5
6 ABAABBBBAAAB 	4
7 ABAABBBBAABA 	NO
7 ABAABBBBABAA 	5
5 ABAABBBBBAAA 	4
6 ABABAAAABBBB 	5
8 ABABAAABABBB 	6
8 ABABAAABBABB 	6
8 ABABAAABBBAB 	NO
7 ABABAAABBBBA 	5
8 ABABAABAABBB 	NO
10 ABABAABABABB 	NO
10 ABABAABABBAB 	NO
9 ABABAABABBBA 	NO
8 ABABAABBAABB 	NO
10 ABABAABBABAB 	NO
9 ABABAABBABBA 	NO
8 ABABAABBBAAB 	NO
9 ABABAABBBABA 	NO
7 ABABAABBBBAA 	NO
8 ABABABAAABBB 	NO
10 ABABABAABABB 	NO
10 ABABABAABBAB 	NO
9 ABABABAABBBA 	NO
10 ABABABABAABB 	NO
12 ABABABABABAB 	NO
11 ABABABABABBA 	NO
10 ABABABABBAAB 	NO
11 ABABABABBABA 	NO
9 ABABABABBBAA 	NO
8 ABABABBAAABB 	NO
10 ABABABBAABAB 	NO
9 ABABABBAABBA 	NO
10 ABABABBABAAB 	NO
11 ABABABBABABA 	NO
9 ABABABBABBAA 	NO
8 ABABABBBAAAB 	5
9 ABABABBBAABA 	NO
9 ABABABBBABAA 	6
7 ABABABBBBAAA 	5
6 ABABBAAAABBB 	NO
8 ABABBAAABABB 	NO
8 ABABBAAABBAB 	NO
7 ABABBAAABBBA 	NO
8 ABABBAABAABB 	NO
10 ABABBAABABAB 	NO
9 ABABBAABABBA 	NO
8 ABABBAABBAAB 	NO
9 ABABBAABBABA 	NO
7 ABABBAABBBAA 	NO
8 ABABBABAAABB 	NO
10 ABABBABAABAB 	NO
9 ABABBABAABBA 	NO
10 ABABBABABAAB 	NO
11 ABABBABABABA 	NO
9 ABABBABABBAA 	NO
8 ABABBABBAAAB 	5
9 ABABBABBAABA 	NO
9 ABABBABBABAA 	6
7 ABABBABBBAAA 	5
6 ABABBBAAAABB 	NO
8 ABABBBAAABAB 	NO
7 ABABBBAAABBA 	NO
8 ABABBBAABAAB 	NO
9 ABABBBAABABA 	7
7 ABABBBAABBAA 	NO
8 ABABBBABAAAB 	5
9 ABABBBABAABA 	7
9 ABABBBABABAA 	6
7 ABABBBABBAAA 	5
6 ABABBBBAAAAB 	3
7 ABABBBBAAABA 	6
7 ABABBBBAABAA 	4
7 ABABBBBABAAA 	4
5 ABABBBBBAAAA 	3
4 ABBAAAAABBBB 	4
6 ABBAAAABABBB 	5
6 ABBAAAABBABB 	5
6 ABBAAAABBBAB 	NO
5 ABBAAAABBBBA 	4
6 ABBAAABAABBB 	5
8 ABBAAABABABB 	6
8 ABBAAABABBAB 	NO
7 ABBAAABABBBA 	5
6 ABBAAABBAABB 	NO
8 ABBAAABBABAB 	NO
7 ABBAAABBABBA 	NO
6 ABBAAABBBAAB 	NO
7 ABBAAABBBABA 	NO
5 ABBAAABBBBAA 	NO
6 ABBAABAAABBB 	5
8 ABBAABAABABB 	6
8 ABBAABAABBAB 	NO
7 ABBAABAABBBA 	5
8 ABBAABABAABB 	NO
10 ABBAABABABAB 	NO
9 ABBAABABABBA 	NO
8 ABBAABABBAAB 	NO
9 ABBAABABBABA 	NO
7 ABBAABABBBAA 	NO
6 ABBAABBAAABB 	NO
8 ABBAABBAABAB 	NO
7 ABBAABBAABBA 	NO
8 ABBAABBABAAB 	NO
9 ABBAABBABABA 	NO
7 ABBAABBABBAA 	NO
6 ABBAABBBAAAB 	NO
7 ABBAABBBAABA 	NO
7 ABBAABBBABAA 	NO
5 ABBAABBBBAAA 	NO
6 ABBABAAAABBB 	5
8 ABBABAAABABB 	6
8 ABBABAAABBAB 	NO
7 ABBABAAABBBA 	5
8 ABBABAABAABB 	NO
10 ABBABAABABAB 	NO
9 ABBABAABABBA 	NO
8 ABBABAABBAAB 	NO
9 ABBABAABBABA 	NO
7 ABBABAABBBAA 	NO
8 ABBABABAAABB 	NO
10 ABBABABAABAB 	NO
9 ABBABABAABBA 	NO
10 ABBABABABAAB 	NO
11 ABBABABABABA 	NO
9 ABBABABABBAA 	NO
8 ABBABABBAAAB 	NO
9 ABBABABBAABA 	NO
9 ABBABABBABAA 	NO
7 ABBABABBBAAA 	NO
6 ABBABBAAAABB 	NO
8 ABBABBAAABAB 	NO
7 ABBABBAAABBA 	NO
8 ABBABBAABAAB 	NO
9 ABBABBAABABA 	7
7 ABBABBAABBAA 	NO
8 ABBABBABAAAB 	NO
9 ABBABBABAABA 	7
9 ABBABBABABAA 	NO
7 ABBABBABBAAA 	NO
6 ABBABBBAAAAB 	3
7 ABBABBBAAABA 	6
7 ABBABBBAABAA 	4
7 ABBABBBABAAA 	4
5 ABBABBBBAAAA 	3
4 ABBBAAAAABBB 	4
6 ABBBAAAABABB 	5
6 ABBBAAAABBAB 	NO
5 ABBBAAAABBBA 	4
6 ABBBAAABAABB 	5
8 ABBBAAABABAB 	NO
7 ABBBAAABABBA 	5
6 ABBBAAABBAAB 	NO
7 ABBBAAABBABA 	NO
5 ABBBAAABBBAA 	NO
6 ABBBAABAAABB 	5
8 ABBBAABAABAB 	NO
7 ABBBAABAABBA 	5
8 ABBBAABABAAB 	NO
